variable,code,label,source_year
h31d,5,Más,2024
h31d,8,No sabe,2024
h31e,0,Nada de comer,2024
h31e,1,Nunca dio comida,2024
h31e,2,Mucho menos,2024
h31e,3,Algo menos,2024
h31e,4,La misma cantidad,2024
h31e,5,Más,2024
h31e,8,No sabe,2024
h32a,0,No,2024
h32a,1,Si,2024
h32b,0,No,2024
h32b,1,Si,2024
h32c,0,No,2024
h32c,1,Si,2024
h32d,0,No,2024
h32d,1,Si,2024
h32e,0,No,2024
h32e,1,Si,2024
h32f,0,No,2024
h32f,1,Si,2024
h32g,0,No,2024
h32g,1,Si,2024
h32h,0,No,2024
h32h,1,Si,2024
h32i,0,No,2024
h32i,1,Si,2024
h32j,0,No,2024
h32j,1,Si,2024
h32k,0,No,2024
h32k,1,Si,2024
h32l,0,No,2024
h32l,1,Si,2024
h32m,0,No,2024
h32m,1,Si,2024
h32n,0,No,2024
h32n,1,Si,2024
h32o,0,No,2024
h32o,1,Si,2024
h32p,0,No,2024
h32p,1,Si,2024
h32q,0,No,2024
h32q,1,Si,2024
h32r,0,No,2024
h32r,1,Si,2024
h32s,0,No,2024
h32s,1,Si,2024
h32t,0,No,2024
h32t,1,Si,2024
h32u,0,No,2024
h32u,1,Si,2024
h32v,0,No,2024
h32v,1,Si,2024
h32w,0,No,2024
h32w,1,Si,2024
h32x,0,No,2024
h32x,1,Si,2024
h32y,0,Si recibió tratamiento,2024
h32y,1,No recibió tratamiento,2024
h32z,0,No,2024
h32z,1,Si,2024
h33,0,No,2024
h33,1,Fecha de vacuna en tarjeta,2024
h33,2,Reportado por la madre,2024
h33,3,Vacuna señalada en tarjeta,2024
h33,8,No sabe,2024
h33d,97,Inconsistente,2024
h33d,98,No sabe,2024
h33m,97,Inconsistente,2024
h33m,98,No sabe,2024
h33y,9997,Inconsistente,2024
h33y,9998,No sabe,2024
h34,0,No,2024
h34,1,Si,2024
h34,8,No sabe,2024
h35,0,No,2024
h35,1,Si,2024
h35,2,No vaccination in last 2 years,2013
h35,8,No sabe,2024
h36a,0,No,2024
h36a,1,Si,2024
h36a,8,No sabe,2024
h36b,0,No,2024
h36b,1,Si,2024
h36b,8,No sabe,2024
h36c,0,No,2024
h36c,1,Si,2024
h36c,8,No sabe,2024
h36d,0,No,2024
h36d,1,Si,2024
h36d,8,No sabe,2024
h36e,0,No,2024
h36e,1,Si,2024
h36e,8,No sabe,2024
h36f,0,No,2024
h36f,1,Si,2024
h36f,8,No sabe,2024
h37a,0,No,2024
h37a,1,Si,2024
h37b,0,No,2024
h37b,1,Si,2024
h37c,0,No,2024
h37c,1,Si,2024
h37d,0,No,2024
h37d,1,Si,2024
h37e,0,No,2024
h37e,1,Si,2024
h37f,0,No,2024
h37f,1,Si,2024
h37g,0,No,2024
h37g,1,Si,2024
h37h,0,No,2024
h37h,1,Si,2024
h37i,0,No,2024
h37i,1,Si,2024
h37j,0,No,2024
h37j,1,Si,2024
h37k,0,No,2024
h37k,1,Si,2024
h37l,0,No,2024
h37l,1,Si,2024
h37m,0,No,2024
h37m,1,Si,2024
h37n,0,No,2024
h37n,1,Si,2024
h37o,0,No,2024
h37o,1,Si,2024
h37p,0,No,2024
h37p,1,Si,2024
h37x,0,No,2024
h37x,1,Si,2024
h37y,0,No,2024
h37y,1,Si,2024
h37z,0,No,2024
h37z,1,Si,2024
h38,0,Nada para beber,2024
h38,2,Mucho menos,2024
h38,3,Algo menos,2024
